PGS	Prev	n	meanPRS	GROUP	scaled
65	0.0435906908016254	2707	3.47500659770964	LOW <-1	-0.00340498855286527
66	0.0498707055781308	2707	3.51012154414481	LOW <-1	0.0028750262236401
67	0.0465459918729221	2707	3.54548736978205	LOW <-1	-0.000449687481568622
68	0.0539143279172821	2708	3.58092197932053	LOW <-1	0.00691864856279145
69	0.0550424824528999	2707	3.61674384927965	LOW <-1	0.00804680309840921
70	0.0506095308459549	2707	3.65355307351311	LOW <-1	0.00361385149146425
71	0.0553914327917282	2708	3.69132611890694	LOW <-1	0.00839575343723754
72	0.0528260066494274	2707	3.7301144181751	LOW <-1	0.00583032729493673
73	0.060214259327669	2707	3.76956080901367	LOW <-1	0.0132185799731783
74	0.052437223042836	2708	3.81007156942393	LOW <-1	0.00544154368834536
75	0.0513673318551367	2706	3.84949009238729	LOW <-1	0.00437165250064606
76	0.055719557195572	2710	3.88895904428044	LOW <-1	0.00872387784108128
77	0.0635859519408503	2705	3.93136668022181	LOW <-1	0.0165902725863596
78	0.0628001477650536	2707	3.97531041743628	LOW <-1	0.0158044684105629
79	0.069449575175471	2707	4.01945574436646	LOW <-1	0.0224538958209803
80	0.0653377630121816	2709	4.06567586194168	LOW <-1	0.0183420836576909
81	0.0676274944567627	2706	4.11146596082779	LOW <-1	0.0206318151022721
82	0.0720354636128556	2707	4.16031756926487	LOW <-1	0.0250397842583649
83	0.069449575175471	2707	4.20984328777244	LOW <-1	0.0224538958209803
84	0.0734859675036928	2708	4.26140336779911	LOW <-1	0.0264902881492021
85	0.0801625415589213	2707	4.31342381972663	LOW <-1	0.0331668622044306
86	0.0827484299963059	2707	4.37029699298116	LOW <-1	0.0357527506418152
87	0.0782865583456425	2708	4.42848127769572	LOW <-1	0.0312908789911519
88	0.0816401920945696	2707	4.49152039896564	LOW <-1	0.034644512740079
89	0.0886590321388992	2707	4.55871560029553	LOW <-1	0.0416633527844085
90	0.0986331732545253	2707	4.62961556704839	LOW <-1	0.0516374939000346
91	0.0901366826745475	2707	4.70437494274104	LOW <-1	0.0431410033200568
92	0.105982274741507	2708	4.78411127400295	LOW <-1	0.058986595387016
93	0.108976727004064	2707	4.87322792759512	LOW <-1	0.0619810476495729
94	0.118212042851866	2707	4.9719120613225	LOW <-1	0.0712163634973749
95	0.117103804950129	2707	5.08333148503879	LOW <-1	0.0701081255956386
96	0.137638376383764	2710	5.2163711402214	LOW <-1	0.0906426970292732
97	0.145286506469501	2705	5.37430935674677	LOW <-1	0.0982908271150102
98	0.169929811599557	2707	5.57561495382342	LOW <-1	0.122934132245066
99	0.189508681196897	2707	5.86178840783155	LOW <-1	0.142513001842406
100	0.268463810930576	2708	6.51604463072378	LOW <-1	0.221468131576085
